what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1356404999856
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1356404999859
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1356404999878
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1356404999885
os,sysinfo,,,"macosx",1356404999888
arch,sysinfo,,,"x86_64",1356404999888
ws,sysinfo,,,"cocoa",1356404999888
locale,sysinfo,,,"en_US",1356404999888
processors,sysinfo,,,"4",1356404999888
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1356404999888
java.runtime.version,sysinfo,,,"1.6.0_37-b06-434-11M3909",1356404999888
java.specification.name,sysinfo,,,"Java Platform API Specification",1356404999888
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356404999888
java.specification.version,sysinfo,,,"1.6",1356404999888
java.vendor,sysinfo,,,"Apple Inc.",1356404999888
java.version,sysinfo,,,"1.6.0_37",1356404999888
java.vm.info,sysinfo,,,"mixed mode",1356404999888
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1356404999888
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1356404999888
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1356404999888
java.vm.specification.version,sysinfo,,,"1.0",1356404999888
java.vm.vendor,sysinfo,,,"Apple Inc.",1356404999888
java.vm.version,sysinfo,,,"20.12-b01-434",1356404999888
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1356404999898
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1356404999936
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1356405000024
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1356405000026
started,bundle,org.eclipse.wb.discovery.core,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.core",1356405000046
started,bundle,org.eclipse.wb.discovery.ui,1.0.0.r37x201106081733,"org.eclipse.wb.discovery.ui",1356405000884
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1356405000904
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1356405002920
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356405208432
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405208442
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405209271
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405209312
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405209326
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1356405209352
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405211375
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405211407
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405211407
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1356405211418
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1356405212773
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1356405212773
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.close",1356405212788
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1356405213033
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1356405214081
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1356405214323
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1356405214342
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1356405214393
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1356593925347
started,bundle,org.eclipse.osgi,3.7.0.v20110613,"org.eclipse.osgi",1356593925348
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1356593925358
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1356593925380
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1356593925391
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1356593925404
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1356593925411
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1356593925423
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1356593925431
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1356593925431
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1356593925432
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1356593925450
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1356593925458
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1356593925481
